hardware,hbm_budget_gib,world,tp,dp,ep,ffn_tp,nested_cp,cache_dtype,context,weight_gib,allowance_gib,cache_state_per_request_gib,minimum_hbm_one_request_gib,requests_per_dp,cluster_requests,resident_tokens,implemented_mesh
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,524288,407.82124823331833,20,3.4855499267578125,431.30679816007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,1048576,407.82124823331833,20,6.8605499267578125,434.68179816007614,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,1024,390.068405687809,20,0.08164215087890625,410.1500478386879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,8192,390.068405687809,20,0.26621246337890625,410.3346181511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,32768,390.068405687809,20,0.8990249633789062,410.9674306511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,131072,390.068405687809,20,3.4302749633789062,413.4986806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,524288,390.068405687809,20,13.555274963378906,423.6236806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,bfloat16,1048576,390.068405687809,20,27.055274963378906,437.1236806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,1024,390.068405687809,20,0.06845855712890625,410.1368642449379,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,8192,390.068405687809,20,0.16074371337890625,410.2291494011879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,32768,390.068405687809,20,0.47714996337890625,410.5455556511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,131072,390.068405687809,20,1.7427749633789062,411.8111806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,524288,390.068405687809,20,6.805274963378906,416.8736806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,1,fp8_e4m3,1048576,390.068405687809,20,13.555274963378906,423.6236806511879,0,0,0,True
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,1024,390.068405687809,20,0.06845855712890625,410.1368642449379,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,8192,390.068405687809,20,0.16074371337890625,410.2291494011879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,32768,390.068405687809,20,0.47714996337890625,410.5455556511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,131072,390.068405687809,20,1.7427749633789062,411.8111806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,524288,390.068405687809,20,6.805274963378906,416.8736806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,bfloat16,1048576,390.068405687809,20,13.555274963378906,423.6236806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,1024,390.068405687809,20,0.06186676025390625,410.1302724480629,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,8192,390.068405687809,20,0.10800933837890625,410.1764150261879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,32768,390.068405687809,20,0.26621246337890625,410.3346181511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,131072,390.068405687809,20,0.8990249633789062,410.9674306511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,524288,390.068405687809,20,3.4302749633789062,413.4986806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,2,fp8_e4m3,1048576,390.068405687809,20,6.805274963378906,416.8736806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,1024,390.068405687809,20,0.06186676025390625,410.1302724480629,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,8192,390.068405687809,20,0.10800933837890625,410.1764150261879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,32768,390.068405687809,20,0.26621246337890625,410.3346181511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,131072,390.068405687809,20,0.8990249633789062,410.9674306511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,524288,390.068405687809,20,3.4302749633789062,413.4986806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,bfloat16,1048576,390.068405687809,20,6.805274963378906,416.8736806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,1024,390.068405687809,20,0.05857086181640625,410.1269765496254,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,8192,390.068405687809,20,0.08164215087890625,410.1500478386879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,32768,390.068405687809,20,0.16074371337890625,410.2291494011879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,131072,390.068405687809,20,0.47714996337890625,410.5455556511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,524288,390.068405687809,20,1.7427749633789062,411.8111806511879,0,0,0,False
GB200_measured,184.306640625,4,4,1,4,1,4,fp8_e4m3,1048576,390.068405687809,20,3.4302749633789062,413.4986806511879,0,0,0,False
