rank,op,m,n,k,tp,ms,gflops,gbps
10,bf16_kda_projection,1,12288,7168,1,0.03221120039621989,5468.929000878624,0
10,bf16_kda_projection,8,12288,7168,1,0.031932799021402995,44132.8723816357,0
10,bf16_kda_projection,128,12288,7168,1,0.03036373257637024,742615.4952223438,0
10,bf16_kda_projection,1024,12288,7168,1,0.11039466857910156,1634033.8600930294,0
10,bf16_kda_projection,8192,12288,7168,1,0.8028629302978516,1797453.783201356,0
10,bf16_kda_projection,1,6144,7168,2,0.024495999018351238,3595.704912219108,0
10,bf16_kda_projection,8,6144,7168,2,0.023647999763488768,29797.153207347827,0
10,bf16_kda_projection,128,6144,7168,2,0.021064533789952596,535226.1419323523,0
10,bf16_kda_projection,1024,6144,7168,2,0.05983253320058187,1507446.006232657,0
10,bf16_kda_projection,8192,6144,7168,2,0.41582508087158204,1735235.6529711958,0
10,bf16_kda_projection,1,3072,7168,4,0.02523840069770813,1744.967620075833,0
10,bf16_kda_projection,8,3072,7168,4,0.02427519957224528,14513.64117322529,0
10,bf16_kda_projection,128,3072,7168,4,0.020568533738454183,274066.4282481643,0
10,bf16_kda_projection,1024,3072,7168,4,0.028500266869862876,1582341.555393898,0
10,bf16_kda_projection,8192,3072,7168,4,0.21229653358459472,1699402.4667870498,0
10,bf16_kda_projection,1,1536,7168,8,0.024528000752131143,897.7533971286574,0
10,bf16_kda_projection,8,1536,7168,8,0.02462293306986491,7154.337279809959,0
10,bf16_kda_projection,128,1536,7168,8,0.02434026598930359,115798.74637518878,0
10,bf16_kda_projection,1024,1536,7168,8,0.021706666549046835,1038785.8611570247,0
10,bf16_kda_projection,8192,1536,7168,8,0.13181119759877521,1368537.9521479756,0
10,bf16_kda_projection,1,768,7168,16,0.024564266204833984,448.2139994816267,0
10,bf16_kda_projection,8,768,7168,16,0.024089600642522177,3656.36547102086,0
10,bf16_kda_projection,128,768,7168,16,0.025478400786717734,55312.974931090714,0
10,bf16_kda_projection,1024,768,7168,16,0.021709867318471274,519316.3544766377,0
10,bf16_kda_projection,8192,768,7168,16,0.059279998143514,1521496.559389964,0
11,hbm_copy,0,0,0,1,0.08213184356689453,0,6536.69622748369
11,bf16_kda_projection,1,12288,7168,1,0.03198720018068949,5507.226859647046,0
11,bf16_kda_projection,8,12288,7168,1,0.03204373319943746,43980.086066399424,0
11,bf16_kda_projection,128,12288,7168,1,0.0302346666653951,745785.5763234802,0
11,bf16_kda_projection,1024,12288,7168,1,0.11901439825693766,1515687.4216392108,0
11,bf16_kda_projection,8192,12288,7168,1,0.8551392237345378,1687572.001613607,0
11,bf16_kda_projection,1,6144,7168,2,0.02508266568183899,3511.60379511713,0
11,bf16_kda_projection,8,6144,7168,2,0.024629332621892295,28609.913342664568,0
11,bf16_kda_projection,128,6144,7168,2,0.021418666839599608,526376.7925628165,0
11,bf16_kda_projection,1024,6144,7168,2,0.074673064549764,1207856.055725318,0
11,bf16_kda_projection,8192,6144,7168,2,0.5286485354105631,1364904.0097455692,0
11,bf16_kda_projection,1,3072,7168,4,0.025736532608668008,1711.1936821344518,0
11,bf16_kda_projection,8,3072,7168,4,0.025945599873860678,13579.240322554737,0
11,bf16_kda_projection,128,3072,7168,4,0.022593067089716593,249507.71639879694,0
11,bf16_kda_projection,1024,3072,7168,4,0.039095465342203775,1153513.7441967563,0
11,bf16_kda_projection,8192,3072,7168,4,0.23715945879618328,1521243.363833339,0
11,bf16_kda_projection,1,1536,7168,8,0.02490773399670919,884.0666117162363,0
11,bf16_kda_projection,8,1536,7168,8,0.025292799870173136,6964.858335345462,0
11,bf16_kda_projection,128,1536,7168,8,0.025634133815765382,109953.87276423341,0
11,bf16_kda_projection,1024,1536,7168,8,0.022431999444961548,1005196.9892084068,0
11,bf16_kda_projection,8192,1536,7168,8,0.1268831968307495,1421690.428186656,0
11,bf16_kda_projection,1,768,7168,16,0.02571199933687846,428.20660718547856,0
11,bf16_kda_projection,8,768,7168,16,0.02523306608200073,3490.673060252062,0
11,bf16_kda_projection,128,768,7168,16,0.02517333428064982,55983.29280850518,0
11,bf16_kda_projection,1024,768,7168,16,0.022431999444961548,502598.4946042034,0
11,bf16_kda_projection,8192,768,7168,16,0.06927680174509684,1301941.067485605,0
12,hbm_copy,0,0,0,1,0.08212032318115234,0,6537.613238755723
12,bf16_kda_projection,1,12288,7168,1,0.032374399900436404,5441.360103716559,0
12,bf16_kda_projection,8,12288,7168,1,0.0321343998114268,43855.99707074243,0
12,bf16_kda_projection,128,12288,7168,1,0.0303274671236674,743503.5115874615,0
12,bf16_kda_projection,1024,12288,7168,1,0.1136629343032837,1587048.8258791028,0
12,bf16_kda_projection,8192,12288,7168,1,0.8246496200561524,1749966.2600435505,0
12,bf16_kda_projection,1,6144,7168,2,0.027297067642211913,3226.7342834947362,0
12,bf16_kda_projection,8,6144,7168,2,0.026693334182103474,26397.71664314709,0
12,bf16_kda_projection,128,6144,7168,2,0.023507199684778848,479610.04726991017,0
12,bf16_kda_projection,1024,6144,7168,2,0.057777067025502525,1561074.6245770603,0
12,bf16_kda_projection,8192,6144,7168,2,0.4167850812276204,1731238.804428162,0
12,bf16_kda_projection,1,3072,7168,4,0.027703466018040974,1589.6997137946662,0
12,bf16_kda_projection,8,3072,7168,4,0.02708373268445333,13008.603359988132,0
12,bf16_kda_projection,128,3072,7168,4,0.023169066508611044,243304.77768298917,0
12,bf16_kda_projection,1024,3072,7168,4,0.03507839838663737,1285610.4805850866,0
12,bf16_kda_projection,8192,3072,7168,4,0.2331050713857015,1547702.2902991625,0
12,bf16_kda_projection,1,1536,7168,8,0.02801813284556071,785.9230349637286,0
12,bf16_kda_projection,8,1536,7168,8,0.027271467447280883,6459.526548783652,0
12,bf16_kda_projection,128,1536,7168,8,0.028149332602818808,100129.27580804366,0
12,bf16_kda_projection,1024,1536,7168,8,0.02404266595840454,937856.8226589591,0
12,bf16_kda_projection,8192,1536,7168,8,0.12078293164571126,1493494.3536652036,0
12,bf16_kda_projection,1,768,7168,16,0.02804479996363322,392.58785993400403,0
12,bf16_kda_projection,8,768,7168,16,0.02835093339284261,3106.789564192497,0
12,bf16_kda_projection,128,768,7168,16,0.027586134274800618,51086.75720785404,0
