rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
7,16,16,512,8192,hot_rank,4.676808675130208,55.999996185302734,6981419008,3670016
7,16,16,2048,32768,balanced,1.4885055541992187,1.00146484375,6981419008,14680064
7,16,16,2048,32768,hot_rank,17.771875,55.999996185302734,6981419008,14680064
7,16,4,0,8192,balanced,1.512710444132487,1.0048828125,6981419008,0
7,16,8,1024,8192,balanced,1.453058115641276,1.0048828125,6981419008,0
7,8,8,1,8,balanced,0.3971839904785156,6.999999523162842,4171235328,7168
7,8,8,1,8,hot_rank,0.12322773138682047,55.999996185302734,4171235328,7168
7,8,8,8,64,balanced,0.375598939259847,1.7499998807907104,4171235328,57344
7,8,8,8,64,hot_rank,0.23307520548502605,55.999996185302734,4171235328,57344
7,8,8,128,1024,balanced,0.45552212397257485,1.0390625,4171235328,917504
7,8,8,128,1024,hot_rank,1.0626666386922201,55.999996185302734,4171235328,917504
7,8,8,512,4096,balanced,0.6305301030476888,1.01171875,4171235328,3670016
7,8,8,512,4096,hot_rank,2.4313748677571616,55.999996185302734,4171235328,3670016
7,8,8,2048,16384,balanced,1.5171349843343098,1.00146484375,4171235328,14680064
7,8,8,2048,16384,hot_rank,9.025990804036459,55.999996185302734,4171235328,14680064
7,4,4,1,4,balanced,0.27076905568440757,13.999999046325684,3089104896,7168
7,4,4,1,4,hot_rank,0.12845439910888673,55.999996185302734,3089104896,7168
7,4,4,8,32,balanced,0.7538858413696289,1.7499998807907104,3089104896,57344
7,4,4,8,32,hot_rank,0.18091519673665366,55.999996185302734,3089104896,57344
7,4,4,128,512,balanced,0.845902951558431,1.09375,3089104896,917504
7,4,4,128,512,hot_rank,0.9080469131469726,55.999996185302734,3089104896,917504
7,4,4,512,2048,balanced,1.0467989603678385,1.01171875,3089104896,3670016
7,4,4,512,2048,hot_rank,1.5027520497639975,55.999996185302734,3089104896,3670016
7,4,4,2048,8192,balanced,1.673700205485026,1.0048828125,3089104896,14680064
7,4,4,2048,8192,hot_rank,4.720539855957031,55.999996185302734,3089104896,14680064
8,16,16,1,16,balanced,0.19604479471842448,3.499999761581421,6981419008,7168
8,16,16,1,16,hot_rank,0.11271680196126302,55.999996185302734,6981419008,7168
8,16,16,8,128,balanced,0.2145792007446289,1.3125,6981419008,57344
8,16,16,8,128,hot_rank,0.36893653869628906,55.999996185302734,6981419008,57344
8,16,16,128,2048,balanced,2.8268310546875,1.01171875,6981419008,917504
8,16,16,128,2048,hot_rank,1.3659114837646484,55.999996185302734,6981419008,917504
8,16,16,512,8192,balanced,0.5346687952677409,1.0048828125,6981419008,3670016
8,16,16,512,8192,hot_rank,4.676548258463542,55.999996185302734,6981419008,3670016
8,16,16,2048,32768,balanced,1.4855125427246094,1.00146484375,6981419008,14680064
8,16,16,2048,32768,hot_rank,17.76955362955729,55.999996185302734,6981419008,14680064
8,16,4,0,8192,balanced,1.511413319905599,1.0048828125,6981419008,0
8,16,8,0,8192,balanced,1.4428778330485026,1.0048828125,6981419008,0
8,8,8,1,8,balanced,0.3959018707275391,6.999999523162842,4171235328,7168
8,8,8,1,8,hot_rank,0.10337920188903808,55.999996185302734,4171235328,7168
8,8,8,8,64,balanced,0.4079594612121582,1.7499998807907104,4171235328,57344
8,8,8,8,64,hot_rank,0.22817920049031576,55.999996185302734,4171235328,57344
8,8,8,128,1024,balanced,0.4931861241658529,1.0390625,4171235328,917504
8,8,8,128,1024,hot_rank,1.0533503850301107,55.999996185302734,4171235328,917504
8,8,8,512,4096,balanced,0.630453364054362,1.01171875,4171235328,3670016
8,8,8,512,4096,hot_rank,2.4483861287434894,55.999996185302734,4171235328,3670016
8,8,8,2048,16384,balanced,1.5557547251383463,1.00146484375,4171235328,14680064
8,8,8,2048,16384,hot_rank,9.031895955403646,55.999996185302734,4171235328,14680064
8,4,4,1,4,balanced,0.2722538630167643,13.999999046325684,3089104896,7168
8,4,4,1,4,hot_rank,0.12914133071899414,55.999996185302734,3089104896,7168
8,4,4,8,32,balanced,0.752569580078125,1.7499998807907104,3089104896,57344
8,4,4,8,32,hot_rank,0.18190080324808758,55.999996185302734,3089104896,57344
8,4,4,128,512,balanced,0.8449600219726563,1.09375,3089104896,917504
8,4,4,128,512,hot_rank,0.910813840230306,55.999996185302734,3089104896,917504
8,4,4,512,2048,balanced,1.065715217590332,1.01171875,3089104896,3670016
8,4,4,512,2048,hot_rank,1.5045973459879558,55.999996185302734,3089104896,3670016
8,4,4,2048,8192,balanced,1.6721536000569661,1.0048828125,3089104896,14680064
8,4,4,2048,8192,hot_rank,4.729437764485677,55.999996185302734,3089104896,14680064
9,16,16,1,16,balanced,0.19598506291707357,3.499999761581421,6981419008,7168
9,16,16,1,16,hot_rank,0.11273600260416666,55.999996185302734,6981419008,7168
9,16,16,8,128,balanced,0.21484586397806804,1.3125,6981419008,57344
9,16,16,8,128,hot_rank,0.36894931793212893,55.999996185302734,6981419008,57344
9,16,16,128,2048,balanced,2.8227307637532553,1.01171875,6981419008,917504
9,16,16,128,2048,hot_rank,1.365655517578125,55.999996185302734,6981419008,917504
9,16,16,512,8192,balanced,0.537393061319987,1.0048828125,6981419008,3670016
9,16,16,512,8192,hot_rank,4.67660166422526,55.999996185302734,6981419008,3670016
9,16,16,2048,32768,balanced,1.4854293823242188,1.00146484375,6981419008,14680064
9,16,16,2048,32768,hot_rank,17.7696044921875,55.999996185302734,6981419008,14680064
9,16,4,0,8192,balanced,1.5117290496826172,1.0048828125,6981419008,0
9,16,8,0,8192,balanced,1.4442090352376302,1.0048828125,6981419008,0
9,8,8,1,8,balanced,0.39581438700358074,6.999999523162842,4171235328,7168
9,8,8,1,8,hot_rank,0.10327466328938802,55.999996185302734,4171235328,7168
