rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
1,8,2,1,128,32768,0.1862112045288086,0.38860158920288085,0.21691839694976806,0.0035523176193237305,125829120,16106127360
1,8,2,1,1024,32768,0.24410879611968994,0.3818687915802002,0.31495680809021,0.0035523176193237305,125829120,128849018880
1,8,2,1,8192,32768,0.7015327930450439,0.9055040359497071,0.8800288200378418,0.0035523176193237305,125829120,1030792151040
1,8,2,1,1,131072,0.6941792011260987,0.7357439994812012,0.7286719799041748,0.0035523176193237305,503316480,503316480
1,8,2,1,128,131072,0.7015872001647949,0.7346240043640136,0.7269231796264648,0.0035523176193237305,503316480,64424509440
1,8,2,1,1024,131072,0.9215776443481445,1.0018848419189452,0.9908032417297363,0.0035523176193237305,503316480,515396075520
1,8,2,1,8192,131072,2.673084831237793,3.0460927963256834,2.985995292663574,0.0035523176193237305,503316480,4123168604160
1,8,2,1,1,1048576,5.417945480346679,5.485680007934571,5.456614303588867,0.0035523176193237305,4026531840,4026531840
1,8,2,1,128,1048576,5.429049682617188,5.471615982055664,5.46100959777832,0.0035523176193237305,4026531840,515396075520
1,8,2,1,1024,1048576,7.231728363037109,7.315299224853516,7.306050872802734,0.0035523176193237305,4026531840,4123168604160
1,8,2,1,8192,1048576,23.10096893310547,23.98664245605469,23.540907287597655,0.0035523176193237305,4026531840,32985348833280
1,4,4,1,1,32768,0.10195519924163818,0.42924160957336427,0.14243359565734864,0.001576155424118042,125829120,125829120
1,4,4,1,128,32768,0.10144319534301757,0.46455039978027346,0.15256160497665405,0.001576155424118042,125829120,16106127360
1,4,4,1,1024,32768,0.13549439907073973,0.4924032211303711,0.237060809135437,0.001576155424118042,125829120,128849018880
1,4,4,1,8192,32768,0.696614408493042,1.0848799705505372,1.0632271766662598,0.001576155424118042,125829120,1030792151040
1,4,4,1,1,131072,0.36877119541168213,0.44841599464416504,0.39475359916687014,0.001576155424118042,503316480,503316480
1,4,4,1,128,131072,0.35747199058532714,0.46129598617553713,0.40604801177978517,0.001576155424118042,503316480,64424509440
1,4,4,1,1024,131072,0.4825632095336914,0.5936287879943848,0.5829264163970947,0.001576155424118042,503316480,515396075520
1,4,4,1,8192,131072,2.764835166931152,3.333705520629883,3.214168167114258,0.001576155424118042,503316480,4123168604160
1,4,4,1,1,1048576,2.743516731262207,2.80053768157959,2.78560791015625,0.001576155424118042,4026531840,4026531840
1,4,4,1,128,1048576,2.746089553833008,2.8094911575317383,2.7952543258666993,0.001576155424118042,4026531840,515396075520
1,4,4,1,1024,1048576,3.7279903411865236,3.8704097747802733,3.8304721832275392,0.001576155424118042,4026531840,4123168604160
1,4,4,1,8192,1048576,23.67488250732422,26.205584716796874,24.99817352294922,0.001576155424118042,4026531840,32985348833280
1,2,8,1,1,32768,0.08301119804382324,0.4032896041870117,0.12297279834747314,0.0008339136838912964,125829120,125829120
1,2,8,1,128,32768,0.08028159737586975,0.41517438888549807,0.1615216016769409,0.0008339136838912964,125829120,16106127360
1,2,8,1,1024,32768,0.1464800000190735,0.44582400321960447,0.3436496019363403,0.0008339136838912964,125829120,128849018880
1,2,8,1,8192,32768,0.6530816078186035,1.3853631973266602,1.3610575675964356,0.0008339136838912964,125829120,1030792151040
1,2,8,1,1,131072,0.19023679494857787,0.45616960525512695,0.2530672073364258,0.0008339136838912964,503316480,503316480
1,2,8,1,128,131072,0.19137279987335204,0.4532991886138916,0.29219999313354494,0.0008339136838912964,503316480,64424509440
1,2,8,1,1024,131072,0.5024191856384277,0.7229504108428955,0.7072495937347412,0.0008339136838912964,503316480,515396075520
1,2,8,1,8192,131072,2.5319360733032226,3.612435150146484,3.340607833862305,0.0008339136838912964,503316480,4123168604160
1,2,8,1,1,1048576,1.458687973022461,1.5695455551147461,1.4686688423156737,0.0008339136838912964,4026531840,4026531840
1,2,8,1,128,1048576,1.4061152458190918,1.5321311950683594,1.5110688209533691,0.0008339136838912964,4026531840,515396075520
1,2,8,1,1024,1048576,3.8253726959228516,4.071926498413086,4.070072174072266,0.0008339136838912964,4026531840,4123168604160
1,2,8,1,8192,1048576,22.331333923339844,24.76215057373047,24.587649536132812,0.0008339136838912964,4026531840,32985348833280
1,1,16,1,1,32768,0.16648000478744507,0.4950240135192871,0.15161919593811035,0.0008585304021835327,125829120,125829120
1,1,16,1,128,32768,0.08472319841384887,2.3662944793701173,0.19689760208129883,0.0008585304021835327,125829120,16106127360
1,1,16,1,1024,32768,0.1202623963356018,0.5115903854370117,0.4527103900909424,0.0008585304021835327,125829120,128849018880
1,1,16,1,8192,32768,0.6939040184020996,2.092393684387207,2.06966552734375,0.0008585304021835327,125829120,1030792151040
1,1,16,1,1,131072,0.10814080238342286,0.5333343982696533,0.21873760223388672,0.0008585304021835327,503316480,503316480
1,1,16,1,128,131072,0.10962879657745361,0.4106719970703125,0.2674720048904419,0.0008585304021835327,503316480,64424509440
1,1,16,1,1024,131072,0.3941215991973877,0.7482783794403076,0.733844804763794,0.0008585304021835327,503316480,515396075520
1,1,16,1,8192,131072,2.438960075378418,4.1861824035644535,3.8549598693847655,0.0008585304021835327,503316480,4123168604160
1,1,16,1,1,1048576,0.748960018157959,0.9000096321105957,0.8666352272033692,0.0008585304021835327,4026531840,4026531840
