rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
5,16,1,2048,16,128,0.9076095581054687,0.2906719923019409,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
5,16,1,8192,4,0,2.4093936920166015,2.392902374267578,12.872069358825684,0,checkpoint layer 1,synthetic normal
5,16,1,8192,8,1024,1.883880043029785,1.8602352142333984,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
5,16,1,8192,16,512,0.9046112060546875,0.5957695960998535,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
5,16,1,32768,16,2048,2.2027088165283204,2.1472240447998048,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
5,8,2,16,4,0,0.9098431587219238,0.17479519844055175,21.0,0,checkpoint layer 1,synthetic normal
5,8,2,16,8,2,1.3073743820190429,0.1714303970336914,24.499998092651367,117760,checkpoint layer 1,synthetic normal
5,8,2,128,4,0,0.8521007537841797,0.25886719226837157,14.437499046325684,0,checkpoint layer 1,synthetic normal
5,8,2,128,8,16,1.0843952178955079,0.2518415927886963,16.1875,935936,checkpoint layer 1,synthetic normal
5,8,2,2048,4,0,0.9873023986816406,0.9591872215270996,12.386717796325684,0,checkpoint layer 1,synthetic normal
5,8,2,2048,8,256,0.7485167980194092,0.428601598739624,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
5,8,2,8192,4,0,3.494705581665039,3.481060791015625,12.872069358825684,0,checkpoint layer 1,synthetic normal
5,8,2,8192,8,1024,1.02880802154541,1.0989935874938965,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
5,4,4,16,4,4,1.1901424407958985,0.26644001007080076,21.0,234496,checkpoint layer 1,synthetic normal
5,4,4,128,4,32,0.905510425567627,0.4333199977874756,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
5,4,4,2048,4,512,0.8928720474243164,0.8682383537292481,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
5,4,4,8192,4,2048,2.0654224395751952,1.995185661315918,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
6,16,1,16,4,0,0.9538399696350097,0.15345280170440673,21.0,0,checkpoint layer 1,synthetic normal
6,16,1,16,8,2,1.0453424453735352,0.1480687975883484,24.499998092651367,117760,checkpoint layer 1,synthetic normal
6,16,1,16,16,1,0.9309823989868165,0.1463855981826782,24.499998092651367,59392,checkpoint layer 1,synthetic normal
6,16,1,128,4,0,0.8631312370300293,0.17280160188674926,14.437499046325684,0,checkpoint layer 1,synthetic normal
6,16,1,128,8,16,0.9289936065673828,0.20115039348602295,16.1875,935936,checkpoint layer 1,synthetic normal
6,16,1,128,16,8,1.1470656394958496,0.20949599742889405,14.874999046325684,467968,checkpoint layer 1,synthetic normal
6,16,1,2048,4,0,0.8144944190979004,0.6810272216796875,12.386717796325684,0,checkpoint layer 1,synthetic normal
6,16,1,2048,8,256,0.916374397277832,0.5422255992889404,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
6,16,1,2048,16,128,0.9069855690002442,0.29084479808807373,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
6,16,1,8192,4,0,2.4095712661743165,2.392935943603516,12.872069358825684,0,checkpoint layer 1,synthetic normal
6,16,1,8192,8,1024,1.8839967727661133,1.8603759765625,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
6,16,1,8192,16,512,0.9046015739440918,0.595854377746582,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
6,16,1,32768,16,2048,2.2038080215454103,2.1479248046875,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
6,8,2,16,4,0,0.9098112106323242,0.17490559816360474,21.0,0,checkpoint layer 1,synthetic normal
6,8,2,16,8,2,1.3075247764587403,0.17135200500488282,24.499998092651367,117760,checkpoint layer 1,synthetic normal
6,8,2,128,4,0,0.8521391868591308,0.25891039371490476,14.437499046325684,0,checkpoint layer 1,synthetic normal
6,8,2,128,8,16,1.084556770324707,0.2517519950866699,16.1875,935936,checkpoint layer 1,synthetic normal
6,8,2,2048,4,0,0.9873760223388672,0.9592080116271973,12.386717796325684,0,checkpoint layer 1,synthetic normal
6,8,2,2048,8,256,0.7486032009124756,0.4286335945129395,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
6,8,2,8192,4,0,3.494795227050781,3.481095886230469,12.872069358825684,0,checkpoint layer 1,synthetic normal
6,8,2,8192,8,1024,1.028822422027588,1.098646354675293,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
6,4,4,16,4,4,1.190180778503418,0.266592001914978,21.0,234496,checkpoint layer 1,synthetic normal
6,4,4,128,4,32,0.9057151794433593,0.4332880020141602,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
6,4,4,2048,4,512,0.8928928375244141,0.86834716796875,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
6,4,4,8192,4,2048,2.065500831604004,1.9952991485595704,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
7,16,1,16,4,0,0.9537808418273925,0.1534432053565979,21.0,0,checkpoint layer 1,synthetic normal
7,16,1,16,8,2,1.0455007553100586,0.14801280498504638,24.499998092651367,117760,checkpoint layer 1,synthetic normal
7,16,1,16,16,1,0.9313664436340332,0.14640640020370482,24.499998092651367,59392,checkpoint layer 1,synthetic normal
7,16,1,128,4,0,0.8631232261657715,0.17276959419250487,14.437499046325684,0,checkpoint layer 1,synthetic normal
7,16,1,128,8,16,0.929257583618164,0.20112318992614747,16.1875,935936,checkpoint layer 1,synthetic normal
7,16,1,128,16,8,1.1470848083496095,0.20955519676208495,14.874999046325684,467968,checkpoint layer 1,synthetic normal
7,16,1,2048,4,0,0.814510440826416,0.6809616088867188,12.386717796325684,0,checkpoint layer 1,synthetic normal
7,16,1,2048,8,256,0.9164591789245605,0.5421760082244873,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
7,16,1,2048,16,128,0.9074031829833984,0.29062719345092775,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
7,16,1,8192,4,0,2.4098480224609373,2.392857551574707,12.872069358825684,0,checkpoint layer 1,synthetic normal
7,16,1,8192,8,1024,1.8838016510009765,1.8603343963623047,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
7,16,1,8192,16,512,0.9045136451721192,0.5958367824554444,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
7,16,1,32768,16,2048,2.202694320678711,2.1470016479492187,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
7,8,2,16,4,0,0.9098848342895508,0.17482399940490723,21.0,0,checkpoint layer 1,synthetic normal
7,8,2,16,8,2,1.3074560165405273,0.1715183973312378,24.499998092651367,117760,checkpoint layer 1,synthetic normal
7,8,2,128,4,0,0.8521264076232911,0.2588063955307007,14.437499046325684,0,checkpoint layer 1,synthetic normal
7,8,2,128,8,16,1.0846559524536132,0.2518944025039673,16.1875,935936,checkpoint layer 1,synthetic normal
7,8,2,2048,4,0,0.9873151779174805,0.959228801727295,12.386717796325684,0,checkpoint layer 1,synthetic normal
7,8,2,2048,8,256,0.7486944198608398,0.4286303997039795,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
7,8,2,8192,4,0,3.4947887420654298,3.481140899658203,12.872069358825684,0,checkpoint layer 1,synthetic normal
7,8,2,8192,8,1024,1.0289823532104492,1.0987008094787598,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
7,4,4,16,4,4,1.1903120040893556,0.26646881103515624,21.0,234496,checkpoint layer 1,synthetic normal
7,4,4,128,4,32,0.9057519912719727,0.4332752227783203,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
7,4,4,2048,4,512,0.8927424430847168,0.8683440208435058,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
7,4,4,8192,4,2048,2.06376953125,1.9942623138427735,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
8,16,1,16,4,0,0.9537440299987793,0.1534608006477356,21.0,0,checkpoint layer 1,synthetic normal
8,16,1,16,8,0,1.0449551582336425,0.1476464033126831,24.499998092651367,0,checkpoint layer 1,synthetic normal
8,16,1,16,16,1,0.9312864303588867,0.14627360105514525,24.499998092651367,59392,checkpoint layer 1,synthetic normal
8,16,1,128,4,0,0.8625583648681641,0.1726304054260254,14.437499046325684,0,checkpoint layer 1,synthetic normal
8,16,1,128,8,0,0.9284720420837402,0.2003567934036255,16.1875,0,checkpoint layer 1,synthetic normal
8,16,1,128,16,8,1.1475600242614745,0.20908000469207763,14.874999046325684,467968,checkpoint layer 1,synthetic normal
8,16,1,2048,4,0,0.8138400077819824,0.6807727813720703,12.386717796325684,0,checkpoint layer 1,synthetic normal
8,16,1,2048,8,0,0.9159503936767578,0.5419919967651368,12.113280296325684,0,checkpoint layer 1,synthetic normal
8,16,1,2048,16,128,0.9076992034912109,0.290499210357666,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
8,16,1,8192,4,0,2.4097951889038085,2.3925647735595703,12.872069358825684,0,checkpoint layer 1,synthetic normal
8,16,1,8192,8,0,1.8832368850708008,1.8600383758544923,12.530272483825684,0,checkpoint layer 1,synthetic normal
8,16,1,8192,16,512,0.9040304183959961,0.5955071926116944,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
8,16,1,32768,16,2048,2.2025360107421874,2.1479679107666017,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
8,8,2,16,4,4,0.9169024467468262,0.1766703963279724,21.0,234496,checkpoint layer 1,synthetic normal
8,8,2,16,8,2,0.9292320251464844,0.17195680141448974,24.499998092651367,117760,checkpoint layer 1,synthetic normal
8,8,2,128,4,32,0.791542387008667,0.25940001010894775,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
8,8,2,128,8,16,0.9447664260864258,0.2521568059921265,16.1875,935936,checkpoint layer 1,synthetic normal
8,8,2,2048,4,512,0.9873600006103516,0.9609919548034668,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
8,8,2,2048,8,256,0.7158544063568115,0.42818078994750974,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
8,8,2,8192,4,2048,3.501780700683594,3.4907806396484373,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
8,8,2,8192,8,1024,1.0436079978942872,1.0795280456542968,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
8,4,4,16,4,4,0.8117903709411621,0.26469759941101073,21.0,234496,checkpoint layer 1,synthetic normal
8,4,4,128,4,32,0.7818912029266357,0.43604001998901365,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
8,4,4,2048,4,512,0.8876640319824218,0.8696191787719727,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
8,4,4,8192,4,2048,2.1570512771606447,2.20361270904541,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
9,16,1,16,4,0,0.9535792350769043,0.15312960147857665,21.0,0,checkpoint layer 1,synthetic normal
9,16,1,16,8,0,1.0447407722473145,0.14746079444885254,24.499998092651367,0,checkpoint layer 1,synthetic normal
9,16,1,16,16,1,0.9313167572021485,0.146343994140625,24.499998092651367,59392,checkpoint layer 1,synthetic normal
9,16,1,128,4,0,0.8602751731872559,0.17267199754714965,14.437499046325684,0,checkpoint layer 1,synthetic normal
